Field=#~Integer~#~50|Field=Comment~String~Comment~79|Field=Description~String~Description~82|Field=Designator~String~Designator~82|Field=Digikey~String~Digikey~67|Field=Digikey Part~String~Digikey Part~66|Field=Digikey PartC~String~Digikey PartC~66|Field=Digikey PartF~String~Digikey PartF~66|Field=Footprint~String~Footprint~82|Field=LibRef~String~LibRef~82|Field=Quantity~Integer~Quantity~78|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PIN_Gamma.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\PCB_Project\Project PIN Gamma\PIN_Gamma.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [PIN_Gamma_PCB.PcbDoc]|ReportField=TotalQuantity~70|ReportField=ReportTime~7:30:44 PM|ReportField=ReportDate~1/1/2018|ReportField=ReportDateTime~1/1/2018 7:30:44 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~PIN_Gamma_PCB.PcbDoc|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\PCB_Project\Project PIN Gamma\PIN_Gamma_PCB.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|U/MAX4477ASA+-ND|Dual Low-Noise, Low-Distortion, Wide-Band, Rail-to-Rail Op Amps|U1, U2|||||SO8|U/MAX4477ASA+-ND|2
2|U/MAX987ESA+-ND|Comparator General Purpose CMOS, Push-Pull, Rail-to-Rail, TTL 8-SO|U3|||||SO8|U/MAX987ESA+-ND|1
3|U/LM555CMX|555 Type, Timer/Oscillator (Single) IC 8-SOIC|U7|||||SO8|U/LM555CMX|1
4|U/AP1150ADS50|IC REG LINEAR 5V 200MA SOT23-5|U4||AP1150ADS50CT-ND|||SOT23-5|U/AP1150ADS50|1
5|U/2N3904/SOT23|TRANS NPN 40V 0.2A SOT23|U6||MMBT3904LT3GOSCT-ND|||SOT23-3|U/2N3904/SOT23|1
6|SW/SPDT/THT|SWITCH SLIDE SPDT 200MA 30V|SW1||A107673-ND|||SW/SPDT/THT|SW/SPDT/THT|1
7|SP/Piezo|AUDIO PIEZO TRANSDUCER Max 12.5V 4KHZ SMD|SP1||490-9647-1-ND|||AUDIO PIEZO|SP/Piezo|1
8|Shark Tooth|Sharks Tooth Small|ST1, ST2|||||SHARKTOOTH|Shark Tooth|2
9|RV/10K/25Turn|TRIMMER 10K OHM 0.5W TH|RV1||A105870-ND|||10K/25TN|RV/10K/25Turn|1
10|RF Shield|SMS-403C & SMS-403F RF Shield Cover 1.058" (26.87mm) X 1.058" (26.87mm) Non-Vented Surface Mount|S1|||1798-1210-ND|1798-1211-1-ND|RF SHIELD|RF Shield|1
